filename,duration (s),/sensor_suite/left_camera_optical/image_color/compressed,/sensor_suite/right_camera_optical/image_color/compressed,/sensor_suite/lwir/lwir/image_raw/compressed,/sensor_suite/ouster/points
r2c2_good_2_2025-03-18_18-41-26_1.bag,179.994366645813,1800,1800,1787,1800
r2c2_good_2_2025-03-18_19-04-31_0.bag,111.46105742454529,1115,1115,1101,1115
r2c2_night_1_2025-03-18_21-21-12_6.bag,179.99828505516052,1800,1800,1786,1800
r2c2_night_1_2025-03-18_21-21-12_5.bag,179.99716305732727,1800,1800,1789,1800
r2c2_night_2_2025-03-18_21-50-14_8.bag,126.56688237190247,1266,1266,1252,1265
r2c2_night_2_2025-03-18_21-50-14_4.bag,179.99741220474243,1799,1800,1800,1800
r2c2_night_1_2025-03-18_21-21-12_3.bag,179.9982624053955,1800,1800,1786,1800
r2c2_night_1_2025-03-18_21-21-12_8.bag,156.01963233947754,1561,1561,1547,1560
r2c2_good_2_2025-03-18_18-41-26_3.bag,179.99908304214478,1800,1800,1772,1800
r2c2_night_1_2025-03-18_21-21-12_1.bag,179.99594402313232,1800,1800,1786,1800
r2c2_night_2_2025-03-18_21-50-14_2.bag,179.9962980747223,1800,1800,1800,1800
r2c2_night_1_2025-03-18_21-21-12_0.bag,179.753356218338,1797,1797,1783,1798
r2c2_good_2_2025-03-18_18-41-26_2.bag,179.99788880348206,1800,1800,1772,1800
r2c2_night_1_2025-03-18_21-21-12_4.bag,179.99514985084534,1800,1800,1797,1800
r2c2_night_2_2025-03-18_21-50-14_1.bag,179.9980766773224,1800,1800,1786,1800
r2c2_night_2_2025-03-18_21-50-14_7.bag,179.99776530265808,1800,1800,1800,1800
r2c2_night_2_2025-03-18_21-50-14_5.bag,179.99921917915344,1800,1800,1786,1800
r2c2_good_2_2025-03-18_18-41-26_7.bag,40.43479871749878,405,405,391,405
r2c2_good_2_2025-03-18_18-41-26_6.bag,179.99567556381226,1800,1800,1786,1800
r2c2_good_2_2025-03-18_18-41-26_5.bag,179.99529480934143,1800,1800,1786,1800
r2c2_night_1_2025-03-18_21-21-12_7.bag,179.99695992469788,1800,1800,1800,1800
r2c2_good_2_2025-03-18_18-41-26_0.bag,179.7289776802063,1797,1797,1770,1797
r2c2_good_2_2025-03-18_18-41-26_4.bag,179.99702858924866,1800,1800,1786,1800
r2c2_night_2_2025-03-18_21-50-14_0.bag,179.76974534988403,1798,1798,1783,1798
r2c2_test_2025-03-18_18-30-41_0.bag,10.52082896232605,105,105,92,105
r2c2_night_2_2025-03-18_21-50-14_3.bag,179.99642395973206,1800,1799,1786,1800
r2c2_night_1_2025-03-18_21-21-12_2.bag,179.99877095222473,1800,1800,1800,1800
r2c2_night_2_2025-03-18_21-50-14_6.bag,179.99742007255554,1800,1800,1786,1800
r2c2_dusk_1_2025-03-18_19-30-22_4.bag,179.9983103275299,1800,1800,1786,1800
r2c2_dusk_1_2025-03-18_19-30-22_3.bag,179.9975564479828,1800,1800,1787,1800
r2c2_dusk_1_2025-03-18_19-30-22_6.bag,179.9944965839386,1800,1800,1786,1800
r2c2_dusk_1_2025-03-18_19-30-22_8.bag,119.01216888427734,1190,1190,1190,1190
r2c2_dusk_1_2025-03-18_19-30-22_1.bag,179.99864792823792,1800,1800,1786,1800
r2c2_dusk_1_2025-03-18_19-30-22_5.bag,179.9955084323883,1800,1800,1800,1800
r2c2_dusk_1_2025-03-18_19-30-22_0.bag,179.7581024169922,1797,1797,1784,1797
r2c2_dusk_1_2025-03-18_19-30-22_2.bag,179.99536776542664,1800,1800,1786,1800
r2c2_dusk_1_2025-03-18_19-30-22_7.bag,179.99751043319702,1800,1800,1786,1800
